,no,economic,figure,stratgy,rule,puzzle,party,sum_score,
159,11,4.821428571,4.84375,4.861111111,4.358974359,4.827586207,4.62962963,28.34247988,7.368421053
160,127398,4.642857143,4.84375,4.861111111,4.487179487,4.482758621,4.62962963,27.94728599,3.5
161,1382,4.642857143,5,4.861111111,4.358974359,4.310344828,4.62962963,27.80291707,0
162,66589,4.821428571,5,4.722222222,4.615384615,4.310344828,4.62962963,28.09900987,0
163,165948,4.642857143,5,4.722222222,4.615384615,4.482758621,4.62962963,28.09285223,3.684210526
164,155873,4.821428571,5,4.722222222,4.358974359,4.310344828,4.62962963,27.84259961,3.684210526
165,5,4.642857143,4.84375,4.722222222,4.358974359,4.827586207,4.62962963,28.02501956,10.5
166,9217,4.821428571,4.84375,4.861111111,4.358974359,4.482758621,4.62962963,27.99765229,8.235294118
167,213460,4.642857143,4.84375,4.861111111,4.358974359,4.482758621,5,28.18945123,0
168,481,4.821428571,4.6875,5,4.358974359,4.482758621,4.62962963,27.98029118,3.181818182
169,421,4.642857143,4.84375,5,4.358974359,4.482758621,4.814814815,28.14315494,9.130434783
170,227789,4.642857143,5,4.861111111,4.743589744,4.655172414,4.814814815,28.71754523,3.043478261
171,219513,4.642857143,4.84375,4.861111111,4.358974359,4.827586207,4.62962963,28.16390845,7.777777778
172,223321,4.642857143,4.84375,5,4.358974359,4.310344828,4.814814815,27.97074114,3.888888889
173,244711,4.821428571,5,5,4.743589744,4.827586207,5,29.39260452,28
174,46396,4.642857143,4.84375,4.722222222,4.358974359,4.482758621,4.814814815,27.86537716,0
175,236457,4.642857143,4.84375,5,4.615384615,4.310344828,4.62962963,28.04196622,7.777777778
176,244992,4.642857143,4.84375,5,4.358974359,4.310344828,4.62962963,27.78555596,0
177,9209,4.642857143,5,4.861111111,4.487179487,4.655172414,4.814814815,28.46113497,14
178,115,4.642857143,4.84375,5,4.358974359,4.655172414,4.62962963,28.13038355,11.05263158
179,811,4.642857143,4.84375,4.722222222,4.358974359,4.655172414,4.62962963,27.85260577,8.75
180,3,4.642857143,4.84375,4.722222222,4.487179487,4.827586207,4.62962963,28.15322469,15.55555556
181,33160,4.642857143,5,4.861111111,4.487179487,4.655172414,4.62962963,28.27594978,11.66666667
182,221194,4.821428571,5,4.722222222,4.615384615,4.655172414,4.62962963,28.44383745,11.05263158
183,27833,4.821428571,4.84375,5,4.358974359,4.482758621,4.62962963,28.13654118,3.333333333
184,91,4.642857143,4.84375,4.861111111,4.358974359,4.310344828,4.62962963,27.64666707,0
185,180263,4.642857143,4.84375,4.861111111,4.487179487,4.655172414,4.814814815,28.30488497,9.545454545
186,172386,5,5,5,4.743589744,4.655172414,4.62962963,29.02839179,5.833333333
187,96913,4.642857143,4.84375,5,4.487179487,4.310344828,4.62962963,27.91376109,0
188,199561,4.642857143,5,5,4.615384615,4.827586207,5,29.08582797,21
189,16747,4.642857143,5,4.722222222,4.358974359,4.310344828,4.814814815,27.84921337,0
190,51,4.642857143,5,4.861111111,4.358974359,4.310344828,4.62962963,27.80291707,0
191,129622,4.642857143,4.84375,4.861111111,4.358974359,4.827586207,4.814814815,28.34909363,7.368421053
192,268665,4.642857143,4.84375,4.722222222,4.358974359,4.482758621,4.62962963,27.68019197,4.375
193,271319,4.642857143,4.84375,4.722222222,4.358974359,4.310344828,4.62962963,27.50777818,0
194,153938,4.642857143,4.6875,4.861111111,4.358974359,4.310344828,5,27.86078744,7
195,176494,4.642857143,4.84375,5,4.487179487,4.655172414,4.62962963,28.25858867,11.66666667
196,283948,4.642857143,4.6875,4.722222222,4.743589744,4.310344828,4.814814815,27.92132875,6.666666667
197,271320,4.642857143,4.84375,5,4.358974359,4.827586207,4.814814815,28.48798252,14
198,127060,4.642857143,4.84375,4.722222222,4.487179487,4.482758621,4.62962963,27.8083971,3.684210526
199,37111,4.642857143,4.84375,4.722222222,4.615384615,4.655172414,4.814814815,28.29420121,8.75
200,244522,4.642857143,5,4.861111111,4.487179487,4.310344828,5,28.30149257,3.5
201,180511,4.642857143,4.84375,4.861111111,4.487179487,4.310344828,4.62962963,27.7748722,3.684210526
202,170587,4.642857143,4.84375,5,4.358974359,4.310344828,4.62962963,27.78555596,0
203,118048,4.642857143,4.84375,5,4.615384615,4.655172414,4.814814815,28.57197899,10.5
204,40628,4.642857143,4.84375,4.861111111,4.743589744,4.482758621,4.62962963,28.20369625,7.368421053
205,190082,4.642857143,5,5,4.358974359,4.482758621,4.62962963,28.11421975,0
206,232832,4.821428571,4.84375,4.861111111,4.615384615,4.827586207,4.62962963,28.59889013,10.5
207,101721,4.642857143,4.84375,4.861111111,4.743589744,4.482758621,4.62962963,28.20369625,6.666666667
208,155703,4.642857143,4.84375,4.861111111,4.487179487,4.482758621,5,28.31765636,6.666666667
209,128621,4.642857143,4.84375,4.722222222,4.615384615,4.482758621,4.62962963,27.93660223,8.235294118
210,175117,4.642857143,5,4.861111111,4.358974359,4.482758621,4.814814815,28.16051605,0
211,198994,4.642857143,4.84375,4.861111111,4.358974359,4.827586207,4.62962963,28.16390845,7.777777778
212,198928,4.821428571,4.84375,5,4.615384615,4.655172414,4.62962963,28.56536523,13.33333333
213,124708,4.642857143,4.84375,5,4.487179487,4.482758621,4.814814815,28.27136007,3.181818182
214,184267,5,4.6875,4.861111111,5,4.827586207,4.814814815,29.19101213,33.33333333
